,s1,s2,p-value
368,PYPL,SNPS,0.014663461226588537
311,LULU,VRTX,0.014744617049331273
380,TTD,WBA,0.014943279437816948
157,FAST,LRCX,0.01502977171065377
371,PYPL,VRSK,0.015212807711113743
28,ADSK,CTAS,0.015270905203570885
289,KDP,LIN,0.016342663577734166
92,COST,INTU,0.016420418782234318
25,ADSK,CEG,0.016430026211028927
342,MRNA,TTD,0.016482075375739747
336,MNST,NVDA,0.01653771240219831
349,NFLX,ROST,0.016748879993346066
224,GFS,INTC,0.016773275202469233
280,INTU,PANW,0.016797032924745603
138,EA,INTC,0.016822655831399125
324,MCHP,ROST,0.017237974917582072
103,CTSH,DASH,0.017355737398239268
112,CTSH,MAR,0.01752525447225136
312,LULU,WDAY,0.017779678324946764
1,AAPL,TTD,0.018021075444505246
362,PAYX,ZS,0.018399690762106416
64,AMD,PANW,0.018414893505355412
365,PEP,TXN,0.018682824790678416
223,GFS,HON,0.018938754001036343
248,GFS,TEAM,0.01933782738457371
37,ADSK,MU,0.019438361756780282
272,IDXX,MNST,0.019570199858785157
360,PANW,VRTX,0.019740781111098536
53,AMAT,FAST,0.019853355420210245
67,ANSS,MNST,0.01988436116534131
294,KDP,NVDA,0.019934931962489057
344,MSFT,PANW,0.02039504235258973
361,PANW,WDAY,0.020573806752050745
331,MELI,REGN,0.02084182357773185
74,AVGO,WDAY,0.020896481769675374
275,ILMN,INTU,0.021110621633037244
318,MCHP,MDLZ,0.02134410980892422
116,CTSH,MRVL,0.022114555036450968
299,LIN,NFLX,0.022177818468969254
355,NXPI,XEL,0.0224506707368579
337,MNST,ODFL,0.022628535084641157
340,MNST,WDAY,0.02274792872330544
339,MNST,ORLY,0.02291145796307963
104,CTSH,DDOG,0.022939284611444653
236,GFS,ON,0.023416520212949692
265,GOOGL,MRNA,0.02351259663130218
382,TTWO,VRTX,0.023519332006019748
247,GFS,SIRI,0.023522076204777066
127,DASH,MSFT,0.02352698373938776
260,GOOG,MRNA,0.02357499859519686
278,ILMN,SNPS,0.023634857263158157
79,CCEP,KDP,0.023970782156174784
333,META,MSFT,0.024257487492472325
108,CTSH,INTU,0.024344716103103826
97,CSX,FANG,0.024491652467721624
341,MRNA,PANW,0.025255295281827402
221,GFS,GOOG,0.025340952146283336
298,KLAC,PCAR,0.025344408707710257
266,GOOGL,PANW,0.025358665356538697
302,LRCX,NVDA,0.02552110290481662
222,GFS,GOOGL,0.025534942295075806
291,KDP,META,0.025588308916978785
70,AVGO,MAR,0.025923009074371655
125,DASH,MAR,0.026188628885416954
287,ISRG,WBA,0.02680681113998661
71,AVGO,NXPI,0.027141634728552737
293,KDP,MSFT,0.027321844690029462
348,NFLX,REGN,0.027369009689944122
261,GOOG,PANW,0.027748780008938153
313,MAR,MU,0.027761229945808694
147,EXC,FANG,0.028004549078777575
11,ADBE,GOOG,0.028377962416010195
78,CCEP,ISRG,0.028721751664864615
329,MDLZ,WDAY,0.02873083706727771
370,PYPL,TTWO,0.029077099841217032
68,ASML,CCEP,0.029188745398474658
129,DDOG,INTC,0.02936185349279102
114,CTSH,META,0.02970505716172629
290,KDP,LRCX,0.029736840462576814
229,GFS,MDB,0.030054024786150962
40,ADSK,PCAR,0.030240090254606524
91,COST,DASH,0.030500015813412763
29,ADSK,EXC,0.030694972816327194
375,REGN,ROST,0.031009562985775837
356,ODFL,PCAR,0.031017170406084545
61,AMAT,ROP,0.03130975510841799
9,ABNB,META,0.03146889019001327
369,PYPL,TTD,0.031471562853353306
230,GFS,MDLZ,0.03200797983050203
5,ABNB,FAST,0.03201129939139623
12,ADBE,GOOGL,0.03213816317140654
23,ADSK,AVGO,0.03221580351016437
374,PYPL,XEL,0.032302105126819344
140,EA,MRNA,0.03231416039684786
137,EA,ILMN,0.032363297388576955
8,ABNB,MAR,0.0323780864815331
330,MELI,ORLY,0.03245659664410224
351,NXPI,PCAR,0.03269118396722492
353,NXPI,SNPS,0.03290215541919042
155,FANG,VRTX,0.03300628774340845
276,ILMN,ODFL,0.033036565157295174
111,CTSH,LULU,0.03310194405904151
141,EA,MRVL,0.03313648579518083
327,MDLZ,MELI,0.03320008402592873
323,MCHP,PCAR,0.03336801750095695
251,GFS,TTWO,0.03426953618195472
126,DASH,META,0.03448371387040016
296,KDP,SNPS,0.03468551043575575
124,DASH,LRCX,0.03470034802105342
292,KDP,MNST,0.034744780547816885
52,AMAT,BKNG,0.03491182530611183
